,Unnamed: 0,auction type,count,mean,std,min,25,50,75,max,count_per,mean_per,std_per,min_per,25_per,50_per,75_per,max_per,skew,kurtosis,4th,5th,second_price
29,29,second price,1903.0,1007.8996321597476,971.9552420506881,1.0,311.0,733.0,1403.0,8421.0,1903.0,0.15367425108997762,0.12663267551670554,0.00025497195308516065,0.05776332437596619,0.12479581836001305,0.21912931340072608,1.085346471710108,1.4691673655586777,3.5759098841657795,0.0016859840928222887,0.0009148769577417492,1
30,30,second price,1919.0,956.6435643564357,911.6427020283973,2.0,305.0,707.0,1309.5,7247.0,1919.0,0.1492086883051825,0.12090614036872753,0.0002400384061449832,0.056320947224925005,0.12278434268833087,0.21127409425177526,0.8782798833819242,1.352334038577817,2.590147693621281,0.001191232665160805,0.0005137065094191253,1
31,31,second price,1935.0,957.7007751937983,951.45859825469,1.0,288.0,677.0,1320.5,7848.0,1935.0,0.14598141270187878,0.1199554980181378,0.00012447099825740602,0.053393343845615636,0.1184934405416843,0.20826706767617856,0.8921530730575957,1.3820280235783178,2.782627431613539,0.0011939435078703305,0.0005169485159652323,1
32,32,second price,1989.0,923.4605329311212,863.0280596051981,1.0,302.0,690.0,1280.0,6909.0,1989.0,0.14447712190132406,0.11889858823915014,0.00011159468809284678,0.054477611940298515,0.12017382583987965,0.2000598981731057,0.9047619047619048,1.5242069117351449,3.71073202208152,0.0013373367038091706,0.0006464506354861471,1
33,33,second price,1934.0,935.945708376422,897.9080318019402,1.0,279.5,674.0,1333.25,6313.0,1934.0,0.1433372103646368,0.11932037771302922,0.00020132876988121604,0.05221029392891654,0.11483008439480882,0.20663742996369702,0.836380498145204,1.3081417538307591,2.093471270990047,0.0010296674149793564,0.00039873387792015467,1
34,34,second price,1972.0,980.801724137931,939.425586736808,1.0,307.75,706.5,1354.25,7098.0,1972.0,0.1509783199894761,0.12469442128958685,0.00020056157240272763,0.054328991914403324,0.12334090729797174,0.2106587272403599,0.9053571428571427,1.4890976182599232,3.1658571080656546,0.0014864869351662276,0.0006792078960872863,1
35,35,second price,1976.0,970.8820850202428,954.8143390410432,1.0,329.0,698.0,1281.25,8512.0,1976.0,0.14803006347748393,0.12366923269403628,0.00010840108401084012,0.057547051797330225,0.11623683075009555,0.20824974830175447,0.7874190564292322,1.4534499376582206,2.610913459354662,0.0013088624531133073,0.0005347129871164599,1
36,36,constant percent,1886.0,252.06680805938493,89.07495601434393,71.0,177.0,245.5,318.75,604.0,1886.0,0.040000117506189536,5.658240970343005e-05,0.039821210889882164,0.03996112414060464,0.04,0.0400394685873869,0.04020385050962627,-0.0039057086420734655,0.12758843846763268,3.198791654772501e-17,9.655483546729648e-23,0
37,37,constant percent,1913.0,312.4317825405123,111.7482211525731,99.0,222.0,302.0,395.0,662.0,1913.0,0.05000032097463217,5.912316374112789e-05,0.049777777777777775,0.0499597099113618,0.05,0.050041701417848215,0.05019305019305019,-0.12912761880694462,0.3200331946703807,4.047615131395107e-17,-1.1692485041200017e-21,0
38,38,constant percent,1940.0,321.21907216494844,111.62766402705536,95.0,227.75,316.0,404.0,684.0,1940.0,0.049998436965441664,5.6326773460422706e-05,0.04981163666806195,0.04995926442742964,0.05,0.050036630062868334,0.050203527815468114,0.06800314843209909,0.062238294420443825,3.0760207502676235e-17,4.1405662561829884e-22,0
39,39,constant percent,1893.0,127.44215530903328,43.94875521069904,31.0,92.0,124.0,161.0,263.0,1893.0,0.01999858214028051,5.4837553227669395e-05,0.019783024888321638,0.01995917441596734,0.01999757605138771,0.020038167938931296,0.020179372197309416,0.014112264345781503,0.053999022382622115,2.755822180915316e-17,-7.775594720702548e-23,0
40,40,constant percent,1904.0,188.36502100840335,67.04472319466825,52.0,131.0,185.0,241.0,412.0,1904.0,0.030001603859508574,5.704485136176137e-05,0.02976476236197792,0.02996100249572131,0.03,0.030041375108029258,0.030192608016657987,-0.003837625707162994,0.25401398328875713,3.438106249203434e-17,-1.7025984647481455e-22,0
41,41,constant percent,1981.0,376.8581524482585,133.9161148955048,90.0,267.0,368.0,474.0,853.0,1981.0,0.059999859842152885,5.6546401881786866e-05,0.0597851471275105,0.05996049661399549,0.06,0.060039095224797535,0.06021897810218978,0.0066078336001597895,0.2589737722286065,3.324845441416012e-17,1.3933509889935543e-22,0
