,25_per_1,50_per_1,75_per_1,max_per_1,skew_1,kurtosis_1,4th_1,5th_1,std/mean_1,skew_2,kurtosis_2,4th_2,5th_2,std/mean_2,total return ratio,ratio stdev,max ratio
541,0.029960815087818487,0.03,0.030038759689922482,0.03019693654266958,0.02742838851886249,0.1087521404680336,2.930848437622661e-17,1.9240330025341124e-22,0.3439889767254289,0.13050618582627874,1.6760164074224222,1.3615100161265649e-16,5.248069727386104e-21,0.355713164159092,1.7600000000000002,0.2397719159236084,0.24669603524229075
741,0.07440123515491809,0.1429442503404132,0.23635931501967486,0.6977886977886978,1.4446709454661182,2.5665275918563677,0.0020063322799533188,0.0008395658907594032,0.8156965902799813,1.5863960441561902,3.6280851646617633,0.003425452843208221,0.0019065981659953746,0.6101942769650334,1.5192307692307692,0.8419432920167372,0.8728334589299171
934,0.0355280708136292,0.09372271271951099,0.13826898098949109,0.3366354797284902,1.3159900467009842,3.5624880685346016,0.00012215384501460577,2.5147595130400877e-05,1.033271835186378,0.9702420573237006,0.11577491009368313,0.00011172269483221059,1.527978635643691e-05,0.6382140695118176,2.0714285714285716,0.8620606502094925,1.1938841899804815
881,0.03734652114597544,0.06467049494120865,0.12294390552509488,0.22166921898928024,0.6372660947456944,-0.7899833756908654,3.517123503194421e-05,2.815232857310185e-06,0.8005404714510533,1.2550461162440092,0.8813709640175764,3.6411848175890085e-05,4.276854796287481e-06,0.5226456873269775,1.6666666666666665,0.8092887653088385,0.6605293440736478
475,0.029957203994293864,0.029998061736996505,0.030039709231574094,0.030175706646294882,-0.021598486146656395,-0.116890228729444,2.76705295130178e-17,-5.611511689742588e-23,0.3444119621002467,-0.0233400630469689,1.0349379150695257,9.808024876129363e-17,-2.0466492201278164e-21,0.34627278265814865,1.769652650822669,0.17940310247063176,0.19285714285714287
315,0.052836388877307454,0.11596408579168152,0.20805743489082856,0.841664172403472,1.5016478902646284,3.1316880028174032,0.0014102834125716635,0.0006248003686882012,0.9466391734277266,1.692120595530923,3.857056278565152,0.0009566054939560123,0.00038892896537833193,0.6190234778892317,1.653448275862069,0.9867689024417141,1.0651585152142744
818,0.03008828617029262,0.0499738356881214,0.06000937783931596,0.07017543859649122,-0.1936401016126351,-1.1587400612656624,1.3911762304479208e-07,-9.573111593787961e-10,0.5606008712257927,0.004930289415597182,-1.2545790328122062,9.000593055064721e-08,-7.52457715849745e-12,0.3646037583700419,1.8055555555555556,0.5002546515038744,0.44965603502188867
1003,0.0,0.02815468113975577,0.07006503041745332,0.3803423919549863,3.1093229473106607,11.969522354755151,0.0004682718505356526,0.00015152456342769124,1.7307754746475004,0.97399349017898,-0.3101483660341722,6.80051470988857e-06,4.581638024433711e-07,0.3680879491393945,1.3888888888888888,1.4631775779748692,1.4145146927871772
797,0.04995112388289806,0.04999136060341792,0.0500301084810018,0.05013509456619634,-0.07827426549188216,-0.040683259535597927,3.0988198348650156e-17,-2.5244961564547767e-22,0.35527469158573655,0.5735363367125264,0.9320084009039072,1.7060636374153448e-16,2.1411485361090305e-20,0.3683552127580135,1.2622950819672132,0.33777493900202094,0.40268456375838924
530,0.051264209909692916,0.11565571934790506,0.20360546860631926,0.9713675973679532,1.4902343679726413,3.1112678756199346,0.0013571411461776772,0.0006204369182057056,0.9789163693729783,1.626103548942358,3.7147539684364532,0.0009289534861825724,0.0003957163042786525,0.6136776612917859,1.7422303473491774,1.053943128645914,1.0607848922986132
667,0.0517755321306647,0.11516780699278785,0.2057276140901993,0.8228965960179833,1.3818620570142497,2.6663728902553414,0.0011959772986691176,0.000509016168419736,0.9633331394750445,1.6754193733230422,4.029204608605067,0.0010184078439609279,0.00044678830675670185,0.6319525594075289,1.907020872865275,0.9674001001034029,0.9828120597351366
546,0.039961161506034015,0.04,0.04004093133399677,0.04018040180401804,-0.1039550583981357,0.1841692225953984,3.4504668901690036e-17,-7.794574843544558e-22,0.34909661597212616,-0.19919431761454826,1.6840068293855095,1.3319137758879214e-16,-9.536068124222359e-21,0.35331350615545704,1.7260018639328982,0.27965480753743416,0.31779898933183603
617,0.02995951417004048,0.029998948523142364,0.030038571122304694,0.030187237294612156,0.018489441347410242,0.03573840090107039,3.178464655892433e-17,-1.202000228696781e-23,0.35608845960039154,-0.10111766584077342,1.144965289770774,1.176851459938145e-16,-4.40500378728121e-21,0.3529037431001477,1.7356115107913668,0.23003600677011965,0.24484848484848484
672,0.05446158510222117,0.1179231850727975,0.20686096615378088,0.6634695579649708,1.3098189745785167,1.9721501231915808,0.000980832416041525,0.00034491347023703705,0.9633001536941912,1.7807809849307967,4.738488070451,0.0009999973031286854,0.00044951291770944864,0.6456927559020041,1.6991304347826086,0.9616983833695982,0.9380016606698035
419,0.0,0.0,0.0,0.3797131147540984,3.458181793697974,13.688846482356295,6.137236113114264e-05,1.4707522383978956e-05,2.9711382074958586,5.146334131187854,29.96738989047182,7.854471548999299e-06,1.2209394264468642e-06,0.4794589730082857,1.7977839335180055,1.070498705406153,1.2713550600343053
496,0.0,0.01881724067552741,0.06005974475105093,0.6699016039897561,2.9747587368741133,11.227225886842122,0.0007302195129668133,0.0003202522874109338,1.8529400298082999,3.4256184880663523,16.045314955920368,0.0004978225367986873,0.00021738397358404905,0.6214243448174454,1.707149009474591,1.0444368744204287,1.2520271751040981
127,0.0,0.0,0.0,0.3744913382164865,3.270049568765737,11.642342093051813,4.277120176769297e-05,9.076642067829996e-06,2.9703605444505197,4.666917167366304,23.92078308897891,8.791982057284946e-06,1.3182398316530187e-06,0.52554569901419,1.7502222222222221,0.9120165843397678,0.7726073398896618
558,0.0,0.0,0.0,0.3415907710989678,3.6109122789424193,14.089636142413285,5.5251011636026523e-05,1.2148925748537595e-05,3.162637756373104,4.727046495207723,24.86786790386005,7.355697666022968e-06,1.0694070674694496e-06,0.5063028645229677,1.6954177897574125,0.9905824154043726,0.8598493494635928
427,0.0,0.019936565473493432,0.060057409747924076,0.7869026548672566,2.911972180073303,11.606380392823475,0.0006249387489417631,0.00029701621597770864,1.8617043596837224,3.2527542582002127,13.596515604648022,0.0005297953291476573,0.00022404754863681773,0.6319712177087957,1.7133757961783438,1.0527841821027513,1.0821314102564104
642,0.0,0.019949335022165927,0.06003581711324525,0.6854499579478553,2.6399134597497307,8.153089521198225,0.0005216944761358853,0.00020064158481635232,1.8181416134214463,3.496231989934384,15.789497528118098,0.0008334885320977259,0.0004027691153996863,0.7480620015564247,1.8549471661863595,0.8373954154758131,0.618970189701897
264,0.02999250187453137,0.049923195084485415,0.06000483909992741,0.07015842224377628,-0.027497409939455757,-1.275049447423957,1.4269817124941265e-07,-1.223984857857468e-10,0.5339890359311326,0.04956113021482262,-1.2764314232315153,9.548713997744046e-08,1.4030810877927858e-10,0.387995427482749,1.9033203125,0.428098042008721,0.39935956084172003
101,0.05411308012816657,0.11949079408671742,0.20725543613474648,0.70676500508647,1.199797202258259,1.6513433066225014,0.000839748618680474,0.0002815323386837599,0.9432771948419442,1.5518207854223405,3.5517301395965917,0.0008733173118902679,0.00036959820677926267,0.6303486843918187,1.8224740321057602,0.9608973453485324,1.0256323777403036
184,0.05996111225055401,0.06,0.06004095035620874,0.06021409455842997,-0.045107102321632835,0.10940135971182796,3.318278799943857e-17,-2.434092830856063e-22,0.34352424154893113,0.08444580889650438,0.5008239937985186,8.285473622215452e-17,1.1784843736906697e-21,0.3400740117518141,1.8700673724735322,0.38747061902483204,0.41182314952806753
420,0.0,0.0,0.0,0.3276283618581907,3.542853324587948,13.789061402456884,4.6330412306827947e-05,9.819165290424968e-06,3.0851355146896333,6.319915042951419,50.75552231267663,1.290466729657602e-05,2.845368367597505e-06,0.5108838470358344,1.7095914742451155,0.9489522316747953,0.6484641638225256
553,0.0299844537355278,0.04006421941365705,0.059993190207473415,0.0702054794520548,0.06787696641121946,-1.270140575751854,1.4872554972145437e-07,3.7679374053678124e-10,0.536517852244842,-0.02429121642743017,-1.3137078709307406,1.0252931258499725e-07,-1.2189700653174957e-10,0.3735240321644743,1.8491620111731846,0.45384858379016807,0.4358974358974359
362,0.05264847692862293,0.11403672580143168,0.20789441125613226,0.7676767676767676,1.3911580258854237,2.331409445258112,0.0011677379184283564,0.000460495093848518,0.9850432709558221,1.7643780526487831,4.587688551886148,0.0010488146175348934,0.00046482755546631727,0.6446229002775001,1.762962962962963,0.9771578305170957,0.8861952016078382
436,0.05524041058887088,0.1185987431474796,0.20153313550939664,0.7349937733499378,1.3202714787467766,2.015151547582927,0.0009795955692392816,0.00034656096044963035,0.9475830718985611,1.77977858829303,4.863589873482264,0.0010736243219040484,0.0004931243619065844,0.6478662381079502,1.6666666666666665,0.9445945598725098,0.7600963744837081
110,0.05996068152031455,0.06,0.06004160363086233,0.06022340942204954,0.05567872389349827,0.3244321272065012,3.535182936434201e-17,4.146387803446568e-22,0.35059794532755767,0.09638860813383487,1.6175508900298046,1.7004907204438862e-16,7.64085361103539e-21,0.35944835503961653,1.7347122302158275,0.440950933793375,0.46369353916523726
4,0.05535923700904703,0.12250309351246245,0.2108247479635807,0.7911840773642191,1.3635390992134064,2.3073517989700334,0.0012292865718171108,0.00048408157365569806,0.9625193343204332,1.4446615528071716,2.4429994784466227,0.0007812603214367153,0.0002652665504651839,0.623376170465219,1.8251417769376181,0.9970081030291584,1.2486282578875172
143,0.0,0.01993296877756218,0.06004793858083909,0.8237715461795729,3.4191359843681606,16.235375091574564,0.0011100444447218018,0.0006142898269664139,1.9359563937073914,3.5389763210980494,16.24056279806792,0.0007849829615939758,0.0003776167005199111,0.7475377745520567,1.7311446317657497,0.8775705048489988,0.6318980577535711
684,0.059960423342870994,0.05999801331081753,0.060038672353068735,0.060258249641319934,-0.055763517687276686,0.2381819632391577,3.308772006898318e-17,1.3430387489822366e-23,0.357777246811009,0.01004460809589323,0.7843375866286078,9.382423189168235e-17,6.799239331109529e-22,0.34380970730438837,1.7416225749559082,0.41262072040190384,0.4201768070722829
45,0.03,0.0400880322254568,0.05999633463088905,0.07014784523435043,0.03718992602756627,-1.266567891020209,1.467547045681543e-07,2.048593367120423e-10,0.5423236388445891,0.011326201620111642,-1.2377888218864148,9.164669567619895e-08,3.144188775886554e-11,0.3720485108370022,1.7550644567219154,0.45016045160937807,0.42822265625
868,0.05549327054284022,0.11022077414143866,0.16230161823936462,0.28261490151298885,0.44211851126885066,-0.6235135572355239,7.704235996089632e-05,6.347613821850423e-06,0.7411484435561719,1.114056873907762,1.6416765731361551,0.00011943486173170361,2.0103656792126366e-05,0.4789045238613133,1.4444444444444444,1.1671635505119327,0.9171544349392166
142,0.0,0.019944289693593315,0.06004740584672109,0.7230693556320709,2.870558104132784,11.428026280720315,0.0006280304697252227,0.00029442846901491475,1.7692138561544233,3.3132982363962307,14.671741941193952,0.0004264735789029605,0.00017580121888764237,0.6609848510219195,1.7590252707581229,0.959029875577636,0.65083007153462
399,0.029959146618247844,0.029996891513832762,0.030040175682609176,0.03024691358024692,0.06003765800614985,0.2658073802505476,3.705543854724521e-17,7.924458791151188e-22,0.3499300139722591,-0.09774256494646053,1.2131665795083837,1.1235605492304207e-16,-2.109752810478149e-21,0.3488310592151571,1.845505617977528,0.24423620876699836,0.27550357374918777
241,0.05568147167646671,0.1177792501942606,0.2087932421197224,0.7716571638771381,1.4032173144718458,2.5632694574564074,0.0012835574092886462,0.0005314953073847808,0.9671200527846548,1.4829583702891749,2.78769144885072,0.0007599565156743602,0.00027928848896500893,0.6140893086678856,1.8165137614678897,1.0322308358733572,1.4798941798941798
194,0.030002077111507625,0.04010970174837161,0.05997654479221155,0.07016300496102056,0.022763366144951745,-1.2392707419976077,1.434279352954072e-07,1.5039891628431582e-10,0.5254409849425499,0.0451662511291281,-1.2769002086022776,9.480687395667893e-08,1.3836468325035665e-10,0.367199947572161,1.8025711662075297,0.4392957415959279,0.37829099307159353
389,0.050530167060689565,0.11095147115673648,0.20368610022756736,0.7791111944496532,1.3413529360822227,2.2430867278602404,0.0010408545751359603,0.00040540037123778415,0.9560272676152516,1.5836753561570722,3.0617517541943506,0.0009483867710340236,0.0003693172591102851,0.6495249486421318,1.7672727272727273,0.9167205799357855,0.7716615698267074
651,0.05351553561089065,0.117039586919105,0.21011098043532567,0.7846599131693198,1.3633479220508289,2.475763399076203,0.001141115930430484,0.00046340543625326524,0.9496842504041457,1.5027321016539852,2.8797553510706813,0.0007675366078591744,0.0002812082149927003,0.6001074669449169,1.8426013195098965,1.031915951804306,1.1288940809968848
424,0.0,0.01998415593735007,0.061675521145389336,0.6297442244224423,2.6187736408693905,8.211851016638404,0.000628147723358149,0.0002524325077115585,1.8140513168207721,2.548248895543872,8.160862469278811,0.00022071731861469078,7.199946868851455e-05,0.6192148373894892,1.6604444444444444,1.0907055065076958,1.3025173611111112
586,0.05722741432300185,0.12274865591397847,0.20596757169699886,0.7923484673887993,1.4327561564817364,2.7279573603968132,0.0012003495695049426,0.00048331662112219336,0.9463498876055644,1.6765539699159957,3.5004198236319013,0.0011380646136186293,0.00047457325605925393,0.6608635372611272,1.7408759124087592,0.9777461397583818,0.8371463714637146
63,0.0,0.019963285910968333,0.061319501778243024,0.7154983922829582,2.8975732037772888,10.894456227292178,0.0007661819386868821,0.00034967593467233766,1.8962776096891003,2.8897847693400927,9.910658518857517,0.00039970662142808244,0.00014271679769620242,0.6421757869337242,1.576955424726661,1.0905447099025842,1.0338240448650544
655,0.058372545269791035,0.12527876065461996,0.2083727931712892,0.8541066640182741,1.6236681035752232,3.973426040700306,0.0017255924484297876,0.0008161176279411409,0.9764389273048696,1.59980272718535,3.0790945497544984,0.0008848717677541213,0.0003282074581097148,0.6227929292131271,1.7443336355394379,1.071492405063346,1.2549248504304684
267,0.03,0.04989573931910353,0.060003301586910335,0.07015777106411547,-0.03888002913594,-1.2576963338661606,1.434441159028379e-07,-1.8490048207394928e-10,0.5234960742616231,-0.026575755355363332,-1.2112108659168312,8.911140747959468e-08,-6.669431598521367e-11,0.3652524813410961,1.7730232558139534,0.4369935098424484,0.42028985507246375
380,0.053492913018130535,0.11875403710404213,0.208035894845528,0.7898402294141745,1.3417702110897458,2.74164128251386,0.001024224221017156,0.0004252296766775709,0.9327208388431366,1.6822765590389908,3.742381247928989,0.0011765131178557758,0.0005047708662720812,0.6285559747272824,1.7518382352941175,0.9311943136038703,0.836494633142185
